SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,NUM_FRENTES,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
RET,CF,DI,23,7501379200044,Tonicol Vainilla 600ml NR,Refrescos,1,110.6,7.0
RET,CF,DI,24,7501055314133,Joya Manzana 600ml NR,Refrescos,7,0.0,49.0
RET,CF,DI,24,7501055314126,Joya Pina 600ml NR,Refrescos,1,49.5,7.0
RET,CF,DI,24,7501055314119,Joya Durazno 600ml NR,Refrescos,1,57.0,7.0
RET,CF,DI,24,7501055314102,Joya Uva 600ml NR,Refrescos,1,64.5,7.0
RET,CF,DI,24,744886195237,Aga Sidra manzana 600ml NR,Refrescos,1,72.0,7.0
RET,CF,DI,24,7500326103360,Se?orial Sangria 600ml NR,Refrescos,1,79.5,7.0
RET,CF,DI,24,7501479300057,Manzanita Deliciosa Original 600ml NR,Refrescos,1,87.0,7.0
RET,CF,DI,24,7501032408077,Cristal Fresa 600ml NR,Refrescos,1,94.5,7.0
RET,CF,DI,24,7501505630073,Sangria casera Original 600ml NR,Refrescos,1,102.0,7.0
RET,CF,DI,24,7501055302611,Fanta Uva 600ml NR,Refrescos,1,109.5,7.0
RET,CF,DI,25,7501032408329,Cristal Sidra negra 600ml NR,Refrescos,7,0.0,49.0
RET,CF,DI,25,7501032408336,Cristal Cebada 600ml NR,Refrescos,1,49.5,7.0
RET,CF,DI,25,7501371000796,Vita Fresa 600 NR,Refrescos,1,57.0,7.0
RET,CF,DI,25,792313000715,Zaraza Vargas Original 600ml NR,Refrescos,1,64.5,7.0
RET,CF,DI,25,7501073845015,Schweppes Mineral 600ml,Refrescos,1,72.0,7.0
RET,CF,DI,25,7503031899009,SOTO MANZANA 600 ML,Refrescos,1,79.5,7.0
RET,CF,DI,25,7503014667007,Uvula Uva 500ml NR,Refrescos,1,87.0,7.0
RET,CF,DI,25,7501198350432,Refresco Canada Dry 600 ml botella No Retornable ginger ale,Refrescos,1,94.5,7.0
RET,CF,DI,25,21136414547,Refresco Topo Chico Sangria 600ml Botella NR,Refrescos,1,102.0,7.0
RET,CF,DI,25,7503001182322,ELITE TORONJA 600 ML,Refrescos,1,109.5,7.0
RET,CF,DI,26,7501198355451,Crush Naranja 600ml NR,Refrescos,7,0.0,49.0
RET,CF,DI,26,7503007586001,Refresco Delison 355ml,Refrescos,1,49.5,7.0
RET,CF,DI,26,7501055340040,Sidral Mundet Manzana light 600ml NR,Refrescos,1,57.0,7.0
RET,CF,DI,26,7501055320684,Coca Cola SA 500 ml VNR,Refrescos,1,64.5,6.9
RET,CF,DI,26,7501480700075,Tehuacan Brillante 600 ml,Refrescos,1,71.9,6.9
RET,CF,DI,26,7501441610412,Jarritos Tutti Frutti 600ml NR,Refrescos,1,79.3,6.8
RET,CF,DI,26,744886298822,Jarritos Mandarina 600ml NR,Refrescos,1,86.6,6.8
RET,CF,DI,26,761746000302,California Manzana 600ml NR,Refrescos,1,93.9,6.8
RET,CF,DI,26,7503018023953,Sangria Senorial SIN AZUCAR 600ml,Refrescos,1,101.2,6.8
RET,CF,DI,26,7501022013052,PEPSI BLACK 600ML,Refrescos,1,108.5,6.8
RET,CF,DI,27,7501441610122,Jarritos Pi?a 600ml NR,Refrescos,7,0.0,47.6
RET,CF,DI,27,7501055371075,Sidral Mundet Manzana 500ml Vidrio Ret,Refrescos,1,48.1,6.72
RET,CF,DI,27,7501073831902,Penafiel Fresa 600ml NR,Refrescos,1,55.32,6.7
RET,CF,DI,27,7501073831926,Penafiel Manzana 600ml NR,Refrescos,1,62.52,6.7
RET,CF,DI,27,792313000661,Jarochito Fresa 600ml NR,Refrescos,1,69.72,6.7
RET,CF,DI,27,7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,Refrescos,1,76.92,6.7
RET,CF,DI,27,7501022014585,Seven up Lima limon 600ml NR,Refrescos,1,84.12,6.7
RET,CF,DI,27,7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,Refrescos,1,91.32,6.7
RET,CF,DI,27,7501022009277,Refresco Pepsi 473ml lata,Refrescos,1,98.52,6.7
RET,CF,DI,27,7501073841925,Penafiel Pinada 600ml NR,Refrescos,1,105.72,6.7
RET,CF,DI,28,7501055374311,Fanta Naranja SA 300ml NR,Refrescos,8,0.0,53.6
RET,CF,DI,28,7501073840331,Penafiel Limonada Light 600 ml NR,Refrescos,1,54.1,6.7
RET,CF,DI,28,7501073841253,Penafiel Fresada 600 ml NR,Refrescos,1,61.3,6.7
RET,CF,DI,28,7501073844537,Penafiel Toronja 600ml NR,Refrescos,1,68.5,6.7
RET,CF,DI,28,7501073841178,PENAFIEL TORONJADA LIGHT 600 ML,Refrescos,1,75.7,6.7
